,Feature,Standardized Coefficient,CI Lower (Standardized),CI Upper (Standardized),Original Scale Coefficient,CI Lower (Original Scale),CI Upper (Original Scale)
22,texture_worst,1.2395127231095664,1.2364289180686938,1.242596528150439,0.204592732845048,0.2040837230631309,0.2051017426269651
11,radius_se,1.1706733782753675,1.03638813330355,1.304958623247185,4.13885525768712,3.664096710601857,4.613613804772383
29,symmetry_worst,1.1424803205992686,0.931299968332052,1.3536606728664853,18.1110937947852,14.76337121386481,21.458816375705595
8,concave points_mean,0.970179989560201,0.06762586552464178,1.8727341135957603,25.51872677307596,1.7787688920469404,49.25868465410498
27,concavity_worst,0.8898543629434561,0.7755566655087568,1.0041520603781555,4.2542595075853535,3.707819453734001,4.800699561436708
21,radius_worst,0.8555800280417201,0.8302326922033058,0.8809273638801344,0.17802415628406398,0.17275002887483643,0.18329828369329157
14,area_se,0.8404229589387539,0.8398393480558014,0.8410065698217063,0.017811464793070338,0.017799096063035064,0.01782383352310561
24,area_worst,0.820557913275351,0.8204151509630072,0.8207006755876948,0.0014470678454996367,0.0014468160817320834,0.00144731960926719
28,concave points_worst,0.7990539682488038,0.3890652975234273,1.2090426389741804,12.24523869081641,5.962297446477892,18.52817993515493
7,concavity_mean,0.7543041968105668,0.29949937035524576,1.2091090232658879,9.50238547867271,3.772958548777677,15.231812408567745
16,compactness_se,-0.735587249249377,-1.6344967391509855,0.16332224065223144,-39.576858742491815,-87.94095687010962,8.787239385125995
13,perimeter_se,0.6651762160152079,0.6472103084961809,0.683142123534235,0.32150714059145946,0.31282347539793287,0.33019080578498605
23,perimeter_worst,0.6418984832393919,0.6391959980888379,0.644600968389946,0.019254277014072382,0.019173213732145637,0.019335340295999127
25,smoothness_worst,0.6188325033200686,0.00755571758461282,1.2301092890555243,26.83910004605111,0.3276955542657495,53.35050453783647
20,fractal_dimension_se,-0.5949437492615466,-5.438359803419457,4.248472304896364,-213.69578283633402,-1953.3856049077863,1525.994039235118
4,area_mean,0.49362653966964926,0.49339109520443714,0.4938619841348614,0.0013922506474393225,0.0013915865872991466,0.0013929147075794986
0,Intercept,-0.4883915429485158,-30.83330039074453,-30.677376248836968,-30.75533831979075,-30.777411838724795,-30.733264800856702
2,texture_mean,0.4769422572604452,0.4734292342262147,0.4804552802946757,0.11192375246709318,0.11109935346593758,0.11274815146824879
19,symmetry_se,-0.45507491588559584,-1.6705250167917214,0.7603751850205298,-55.74871838252115,-204.64680750606462,93.14937074102235
1,radius_mean,0.45343600520342947,0.37547393424964703,0.5313980761572119,0.12838202120322612,0.10630850226918048,0.15045554013727175
6,compactness_mean,-0.4376804052320026,-1.0322073423151865,0.15684653185118125,-8.35063876258833,-19.693800637925442,2.992523112748779
3,perimeter_mean,0.42244677766083516,0.4109946430004363,0.433898912321234,0.017388015285543068,0.016916642551610215,0.017859388019475925
18,concave points_se,0.27836306192494875,-2.132062992403107,2.688789116253005,44.27465775092747,-339.11237589963224,427.66169140148725
15,smoothness_se,0.2764124937248112,-2.4711237591203665,3.0239487465699892,90.52394756568891,-809.2828026132773,990.3306977446554
9,symmetry_mean,-0.1948682639781454,-0.5175502592272576,0.12781373127096676,-7.097194193429719,-18.849424835065424,4.6550364482059825
10,fractal_dimension_mean,-0.17275971729701117,-2.6350081226017106,2.289488688007688,-23.98845784792087,-365.8826390025228,317.90572330668107
30,fractal_dimension_worst,0.16571883048047253,-0.8894326778251568,1.220870338786102,9.295280735472213,-49.888877514507,68.47943898545144
12,texture_se,-0.14572585258730447,-0.16217617621586106,-0.1292755289587479,-0.2692883697530087,-0.2996870996502275,-0.23888963985578981
5,smoothness_mean,0.10070759625282932,-0.7723944597514448,0.9738096522571035,7.241140507349409,-55.53718903305983,70.01947004775865
17,concavity_se,-0.08439432565612792,-0.6334611908028567,0.46467253949060083,-2.628267847697739,-19.727696946537318,14.47116125114184
26,compactness_worst,0.02040611547097205,-0.14782542113685299,0.18863765207879707,0.1317851229955584,-0.9546741678543681,1.2182444138454849
